353.037	120.127
344.301	71.2405
437.503	71.7022
349.626	201.219
386.382	64.1215
344.763	103.12
398.552	87.6369
358.682	88.4622
341.57	83.7302
384.006	80.456
367.216	124.497
349.889	110.295
369.607	58.9061
352.374	59.5215
378.898	82.668
418.718	263.452
386.703	69.7774
381.82	85.5429
378.025	56.1145
388.349	39.3626
387.179	61.379
367.409	41.6611
427.836	272.182
438.659	72.8302
348.704	66.7264
343.73	80.7607
386.182	64.6295
359.476	105.1
364.743	50.6994
365.312	69.0873
360.36	52.2227
479.024	268.296
394.121	133.656
351.049	180.889
367.889	139.052
354.862	71.0987
391.696	29.6141
388.322	145.444
384.811	109.883
375.599	31.4829
350.193	100.805
395.966	42.4157
